Library Name,State,Visits,Total Programs,Circulation
BRIDGEPORT - LENA CAGLE PUBLIC LIBRARY,AL,2414,16,1459
WEST BLOCTON PUBLIC LIBRARY,AL,1230,24,599
CARBON HILL CITY LIBRARY,AL,878,9,990
OHATCHEE PUBLIC LIBRARY,AL,2154,4,4655
SOMERVILLE PUBLIC LIBRARY,AL,3015,42,917
CHELSEA PUBLIC LIBRARY,AL,25685,264,296459
DUTTON PUBLIC LIBRARY,AL,1451,52,453
FORT DEPOSIT PUBLIC LIBRARY,AL,100,0,1500
SUMMERDALE - MARJORIE YOUNCE SNOOK PUBLIC LIBRARY,AL,11010,100,27743
CLAY PUBLIC LIBRARY,AL,18312,174,20737
ECLECTIC PUBLIC LIBRARY,AL,940,75,4407
HOBSON CITY PUBLIC LIBRARY,AL,1236,26,521
MUNFORD PUBLIC LIBRARY,AL,4506,17,4163
SOUTHSIDE PUBLIC LIBRARY,AL,4301,100,18429
STEELE PUBLIC LIBRARY,AL,698,2,377
PINSON PUBLIC LIBRARY,AL,32047,167,53834
GLENCOE PUBLIC LIBRARY,AL,1423,64,2500
MAGNOLIA SPRINGS PUBLIC LIBRARY,AL,4000,99,4241
TOWN CREEK PUBLIC LIBRARY,AL,9876,21,7629
JEFFERSON COUNTY LIBRARY COOPERATIVE,AL,0,0,52814
PICKENS COUNTY COOPERATIVE LIBRARY,AL,219,0,14
R.L. HADDEN MEMORIAL LIBRARY,AL,4947,139,16312
MT. VERNON PUBLIC LIBRARY,AL,300,0,2776
LINDA DURAN PUBLIC LIBRARY,AL,3798,24,8561
SARDIS CITY PUBLIC LIBRARY,AL,1100,41,2370
WOODSTOCK COMMUNITY LIBRARY,AL,7000,111,2350
NEWBERN PUBLIC LIBRARY,AL,600,8,534
SPANISH FORT PUBLIC LIBRARY,AL,37681,243,64620
ELBERTA PUBLIC LIBRARY,AL,2700,10,3165
CENTER POINT PUBLIC LIBRARY,AL,5801,189,14231
CENTRAL ARKANSAS LIBRARY SYSTEM,AR,1055138,4176,2245364
WASHINGTON COUNTY LIBRARY SYSTEM,AR,269308,1161,826415
MARION COUNTY LIBRARY,AR,14985,401,33479
SOUTHWEST ARKANSAS REGIONAL LIBRARY,AR,20215,363,14631
MID ARKANSAS REGIONAL LIBRARY SYSTEM,AR,259774,1725,663012
GARLAND COUNTY LIBRARY,AR,214967,830,658627
WHITE RIVER REGIONAL LIBRARY,AR,92404,495,142846
PINE BLUFF/JEFFERSON COUNTY LIBRARY SYSTEM,AR,70406,1491,787519
CROWLEY RIDGE REGIONAL LIBRARY,AR,197112,1603,402377
COLUMBIA COUNTY LIBRARY,AR,21337,469,64326
FORT SMITH PUBLIC LIBRARY,AR,160407,289,300504
ARKANSAS RIVER VALLEY REGIONAL LIBRARY,AR,88326,1915,184692
NORTHEAST ARKANSAS REGIONAL LIBRARY,AR,86273,225,177983
SOUTHEAST ARKANSAS REGIONAL LIBRARY,AR,90190,359,127305
PHILLIPS LEE MONROE REGIONAL LIBRARY SYSTEM,AR,4350,4,7108
NORTH LITTLE ROCK PUBLIC LIBRARY SYSTEM,AR,201416,1407,111095
FAULKNER-VAN BUREN REGIONAL LIBRARY SYSTEM,AR,311658,2643,397207
WHITE COUNTY REGIONAL LIBRARY SYSTEM,AR,151919,1037,384585
BARTON LIBRARY,AR,44172,,74398
POPE COUNTY LIBRARY SYSTEM,AR,102356,1420,252505
SCOTT SEBASTIAN REGIONAL LIBRARY,AR,29381,155,56114
EAST CENTRAL ARKANSAS REGIONAL LIBRARY SYSTEM,AR,20669,398,27031
WEST MEMPHIS PUBLIC LIBRARY,AR,12814,488,20437
ASHLEY COUNTY LIBRARY,AR,16703,117,36354
W.A. BILLINGSLEY/JACKSON COUNTY LIBRARY,AR,12282,65,10523
TEXARKANA PUBLIC LIBRARY,AR,58168,105,62418
CONWAY COUNTY LIBRARY,AR,35000,248,22279
LAWRENCE COUNTY LIBRARY,AR,25505,82,56151
FORREST CITY PUBLIC LIBRARY,AR,12780,64,7956
BENTONVILLE PUBLIC LIBRARY,AR,257076,875,648113
BAXTER COUNTY LIBRARY,AR,120499,890,256902
MISSISSIPPI/CRITTENDEN REGIONAL LIBRARY,AR,41796,176,53187
LONOKE COUNTY LIBRARY SYSTEM,AR,143329,2128,277308
ARKANSAS COUNTY LIBRARY,AR,20671,198,40284
TRUMANN PUBLIC LIBRARY,AR,5702,0,6854
BELLA VISTA PUBLIC LIBRARY,AR,48606,,116297
ROGERS PUBLIC LIBRARY,AR,121935,633,311537
CRAWFORD COUNTY LIBRARY SYSTEM,AR,195619,1976,219559
CARROLL AND MADISON LIBRARY SYSTEM,AR,256581,1473,240001
BOONE COUNTY LIBRARY,AR,78102,207,149863
NEWTON COUNTY,AR,17954,536,24086
CLARK COUNTY LIBRARY,AR,26502,161,46950
LAFAYETTE COUNTY LIBRARY,AR,514,,1786
OUACHITA MOUNTAINS REGIONAL LIBRARY,AR,23348,28,44707
PUBLIC LIBRARY OF CAMDEN & OUACHITA COUNTY,AR,17235,17,23441
CALHOUN COUNTY LIBRARY,AR,3059,20,5406
FAYETTEVILLE PUBLIC LIBRARY,AR,432404,1887,1049172
PEA RIDGE COMMUNITY LIBRARY,AR,10327,,24367
GRAVETTE PUBLIC LIBRARY,AR,11402,175,15692
JIM G. FERGUSON SEARCY COUNTY LIBRARY,AR,6560,,29844
"FAIRFIELD BAY LIBRARY, INCORPORATED",AR,6153,,10824
HEMPSTEAD COUNTY LIBRARY,AR,21250,112,31792
GENTRY PUBLIC LIBRARY,AR,9669,76,23998
IVA JANE PEEK LIBRARY HQ,AR,632,6,1137
SILOAM SPRINGS PUBLIC LIBRARY,AR,115499,235,92823
SULPHUR SPRINGS PUBLIC LIBRARY HQ,AR,1095,,1910
TRI-COUNTY REGIONAL LIBRARY SYSTEM,AR,25896,98,61795
INDEPENDENCE COUNTY LIBRARY,AR,99122,459,178768
PRAIRIE COUNTY LIBRARY,AR,17784,93,36611
FELETI BARSTOW PUBLIC LIBRARY,AS,9923,206,6495
APACHE COUNTY LIBRARY DISTRICT OFFICE,AZ,54912,1042,295437
COCHISE COUNTY LIBRARY DISTRICT,AZ,12118,157,52376
CLIFTON PUBLIC LIBRARY,AZ,3671,75,3464
SAFFORD CITY-GRAHAM COUNTY LIBRARY,AZ,41871,565,117524
PARKER PUBLIC LIBRARY,AZ,43287,268,78284
