Library Name,State,Visits,Total Programs,Circulation
BILLINGS PUBLIC LIBRARY,MT,259609,527,620126
JEFFERSON COUNTY LIBRARY - BOULDER,MT,80716,1059,36117
BOZEMAN PUBLIC LIBRARY,MT,167091,423,678434
BRIDGER PUBLIC LIBRARY,MT,2289,32,6540
HENRY A MALLEY MEMORIAL LIBRARY,MT,6511,51,7591
BUTTE-SILVER BOW PUBLIC LIBRARY,MT,55044,205,62941
WEDSWORTH MEMORIAL LIBRARY,MT,5604,36,26493
LIBERTY COUNTY LIBRARY,MT,6500,3,35048
BLAINE COUNTY LIBRARY,MT,9291,287,39541
CHOTEAU/TETON PUBLIC LIBRARY,MT,10012,97,9777
GEORGE MCCONE MEMORIAL COUNTY LIBRARY,MT,4498,62,14888
STILLWATER COUNTY LIBRARY,MT,15217,645,39857
CONRAD PUBLIC LIBRARY,MT,13499,187,22556
GLACIER COUNTY LIBRARY,MT,5532,50,14924
DARBY COMMUNITY PUBLIC LIBRARY,MT,34594,58,14419
WILLIAM K. KOHRS MEMORIAL LIBRARY,MT,24000,68,17985
DENTON PUBLIC LIBRARY,MT,752,6,4271
DILLON PUBLIC LIBRARY,MT,30438,116,29601
DRUMMOND SCHOOL & COMMUNITY LIBRARY,MT,4783,96,7774
DUTTON/TETON PUBLIC LIBRARY,MT,12809,82,6338
EKALAKA PUBLIC LIBRARY,MT,2413,5,4835
MADISON VALLEY PUBLIC LIBRARY,MT,41295,358,33643
FAIRFIELD/TETON PUBLIC LIBRARY,MT,2600,31,6472
ROSEBUD COUNTY LIBRARY,MT,24567,180,33156
CHOUTEAU COUNTY LIBRARY,MT,23032,431,33664
GLASGOW CITY-COUNTY LIBRARY,MT,31720,121,35104
GLENDIVE PUBLIC LIBRARY,MT,26620,226,30450
GREAT FALLS PUBLIC LIBRARY,MT,108624,349,235670
BITTERROOT PUBLIC LIBRARY,MT,45733,323,127324
BIG HORN COUNTY PUBLIC LIBRARY,MT,20677,36,10878
HARLEM PUBLIC LIBRARY,MT,5209,146,9542
HARLOWTON PUBLIC LIBRARY,MT,10829,34,12829
HAVRE-HILL COUNTY LIBRARY,MT,22484,157,38412
LEWIS AND CLARK LIBRARY,MT,160344,720,458976
PRESTON HOT SPRINGS TOWN-COUNTY LIBRARY,MT,3244,0,4159
GARFIELD COUNTY LIBRARY,MT,1320,74,3864
IMAGINEIF KALISPELL,MT,201671,196,524280
LAUREL PUBLIC LIBRARY,MT,20302,194,34425
LEWISTOWN PUBLIC LIBRARY,MT,46949,422,65079
LINCOLN COUNTY PUBLIC LIBRARIES,MT,57442,577,70441
LIVINGSTON-PARK COUNTY PUBLIC LIBRARY,MT,77375,192,91233
PHILLIPS COUNTY LIBRARY,MT,3842,92,8921
MANHATTAN COMMUNITY SCHOOL LIBRARY,MT,15308,28,26488
MILES CITY PUBLIC LIBRARY,MT,14040,139,38003
MISSOULA PUBLIC LIBRARY,MT,182439,852,698707
MOORE MEMORIAL PUBLIC LIBRARY,MT,1560,0,1605
PHILIPSBURG PUBLIC LIBRARY,MT,10500,150,8749
PLAINS PUBLIC LIBRARY DISTRICT,MT,21372,202,22505
SHERIDAN COUNTY LIBRARY,MT,5996,33,17546
NORTH LAKE COUNTY PUBLIC LIBRARY,MT,34105,222,64145
RED LODGE CARNEGIE LIBRARY,MT,7139,167,21583
RONAN LIBRARY DISTRICT,MT,5100,26,13902
ROUNDUP SCHOOL-COMMUNITY LIBRARY,MT,17353,180,12758
ST IGNATIUS SCHOOL-COMMUNITY LIBRARY,MT,9250,0,7011
DANIELS COUNTY LIBRARY,MT,8252,147,9327
TOOLE COUNTY LIBRARY,MT,16042,177,11166
SHERIDAN PUBLIC LIBRARY,MT,6136,159,6660
SIDNEY-RICHLAND COUNTY LIBRARY,MT,26250,121,37102
JUDITH BASIN COUNTY FREE LIBRARY,MT,7889,102,15276
NORTH VALLEY PUBLIC LIBRARY,MT,31246,172,65053
MINERAL COUNTY PUBLIC LIBRARY,MT,30000,85,26264
PRAIRIE COUNTY LIBRARY,MT,3507,100,6583
THOMPSON FALLS PUBLIC LIBRARY,MT,24948,81,31384
THREE FORKS COMMUNITY LIBRARY,MT,24992,116,25138
BROADWATER SCHOOL AND COMMUNITY LIBRARY,MT,19802,31,29691
TWIN BRIDGES PUBLIC LIBRARY,MT,5640,68,7124
VALIER PUBLIC LIBRARY,MT,6017,108,12648
THOMPSON-HICKMAN MADISON COUNTY LIBRARY,MT,7993,100,7281
WEST YELLOWSTONE PUBLIC LIBRARY,MT,7803,158,6306
MEAGHER COUNTY/CITY LIBRARY,MT,5095,111,9738
WIBAUX PUBLIC LIBRARY,MT,5160,45,7712
PETROLEUM COUNTY SCHOOL-COMMUNITY LIBRARY,MT,3900,213,8776
ROOSEVELT COUNTY LIBRARY,MT,35588,48,21401
BELT PUBLIC LIBRARY,MT,3352,0,3352
JOLIET PUBLIC LIBRARY,MT,1005,14,8561
HEARST FREE LIBRARY,MT,27200,9,17437
NORTH JEFFERSON COUNTY LIBRARY DISTRICT CLANCY LIBRARY,MT,68684,209,50681
WHITEFISH COMMUNITY LIBRARY,MT,52550,89,81127
ALBEMARLE REGIONAL LIBRARY,NC,69494,515,56238
APPALACHIAN REGIONAL LIBRARY,NC,225446,812,500387
AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,NC,48900,277,115243
BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,NC,59975,831,48713
CRAVEN-PAMLICO REGIONAL LIBRARY,NC,154320,1761,257369
EAST ALBEMARLE REGIONAL LIBRARY,NC,143497,583,324247
FONTANA REGIONAL LIBRARY,NC,251838,1660,368348
NANTAHALA REGIONAL LIBRARY,NC,136698,461,121323
NEUSE REGIONAL LIBRARY,NC,164547,2990,175109
NORTHWESTERN REGIONAL LIBRARY,NC,204104,3876,431990
PETTIGREW REGIONAL LIBRARY,NC,134747,699,99498
SANDHILL REGIONAL LIBRARY SYSTEM,NC,104625,991,331225
ALEXANDER COUNTY LIBRARY,NC,29337,111,56752
BLADEN COUNTY PUBLIC LIBRARY,NC,13980,224,31872
BRUNSWICK COUNTY LIBRARY,NC,334915,1377,337515
BUNCOMBE COUNTY PUBLIC LIBRARIES,NC,592342,1081,1670073
BURKE COUNTY PUBLIC LIBRARY,NC,49480,1454,200454
CABARRUS COUNTY PUBLIC LIBRARY,NC,230748,1959,815236
CALDWELL COUNTY PUBLIC LIBRARY,NC,163544,349,225918
CATAWBA COUNTY LIBRARY,NC,194639,880,424118
CLEVELAND COUNTY MEMORIAL LIBRARY,NC,68483,166,173540
COLUMBUS COUNTY PUBLIC LIBRARY,NC,29167,69,147789
CUMBERLAND COUNTY PUBLIC LIBRARY,NC,407408,1066,1223014
DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,NC,241874,1922,463580
DAVIE COUNTY PUBLIC LIBRARY,NC,52699,431,92310
DUPLIN COUNTY LIBRARY,NC,7709,67,33853
DURHAM COUNTY LIBRARY,NC,456312,4057,2530199
EDGECOMBE COUNTY MEMORIAL LIBRARY,NC,64175,86,47482
FORSYTH COUNTY PUBLIC LIBRARY,NC,906953,1343,1420772
FRANKLIN COUNTY LIBRARY,NC,33800,40,113637
GRANVILLE COUNTY LIBRARY SYSTEM,NC,103708,340,114557
GREENSBORO PUBLIC LIBRARY,NC,781079,1226,1712445
HALIFAX COUNTY LIBRARY SYSTEM,NC,26501,159,41702
HARNETT COUNTY PUBLIC LIBRARY,NC,147659,982,310920
HAYWOOD COUNTY PUBLIC LIBRARY,NC,142786,369,288593
HENDERSON COUNTY PUBLIC LIBRARY,NC,301574,963,935596
IREDELL COUNTY LIBRARY,NC,145187,362,398175
PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,NC,64026,60,195314
LEE COUNTY LIBRARY,NC,45629,383,131859
MADISON COUNTY PUBLIC LIBRARY,NC,90749,651,119352
MCDOWELL COUNTY PUBLIC LIBRARY,NC,93912,107,147835
CHARLOTTE MECKLENBURG LIBRARY,NC,1525288,10849,5903088
BRASWELL MEMORIAL PUBLIC LIBRARY,NC,90848,1992,150294
NEW HANOVER COUNTY PUBLIC LIBRARY,NC,393890,1191,1177095
ONSLOW COUNTY PUBLIC LIBRARY,NC,229474,678,502499
PENDER COUNTY PUBLIC LIBRARY,NC,85395,533,268070
SHEPPARD MEMORIAL LIBRARY,NC,187313,200,405647
POLK COUNTY PUBLIC LIBRARIES,NC,68430,202,157016
RANDOLPH PUBLIC LIBRARY,NC,186189,807,329069
ROBESON COUNTY PUBLIC LIBRARY,NC,66980,106,91509
ROCKINGHAM COUNTY PUBLIC LIBRARY,NC,243965,8120,193192
ROWAN PUBLIC LIBRARY,NC,235186,649,394289
RUTHERFORD COUNTY LIBRARY,NC,41770,1059,185639
SAMPSON-CLINTON PUBLIC LIBRARY,NC,27512,74,117061
SCOTLAND COUNTY MEMORIAL LIBRARY,NC,30855,68,32536
STANLY COUNTY PUBLIC LIBRARY,NC,63845,286,124176
TRANSYLVANIA COUNTY LIBRARY,NC,128869,339,333021
UNION COUNTY PUBLIC LIBRARY,NC,270828,480,740515
H. LESLIE PERRY MEMORIAL LIBRARY,NC,62000,93,52833
WAKE COUNTY PUBLIC LIBRARIES,NC,1974968,6098,9745969
WAYNE COUNTY PUBLIC LIBRARY,NC,114113,1450,203735
WILSON COUNTY PUBLIC LIBRARY,NC,84864,394,223670
CHAPEL HILL PUBLIC LIBRARY,NC,235142,254,1403056
FARMVILLE PUBLIC LIBRARY,NC,88336,314,39686
HICKORY PUBLIC LIBRARY,NC,182922,563,277742
HIGH POINT PUBLIC LIBRARY,NC,141241,2259,557824
MOORESVILLE PUBLIC LIBRARY,NC,128340,665,506703
ROANOKE RAPIDS PUBLIC LIBRARY,NC,8646,43,11997
SOUTHERN PINES PUBLIC LIBRARY,NC,70183,355,172603
GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,NC,34734,14,51069
JACOB MAUNEY MEMORIAL LIBRARY,NC,34451,618,63980
WARREN COUNTY MEMORIAL LIBRARY,NC,18918,88,24452
HAROLD D. COOLEY LIBRARY,NC,29120,222,25870
ALAMANCE COUNTY PUBLIC LIBRARIES,NC,256283,835,474773
CHATHAM COUNTY PUBLIC LIBRARIES,NC,57829,510,287144
GASTON COUNTY PUBLIC LIBRARY,NC,387221,2718,796280
LINCOLN COUNTY PUBLIC LIBRARY,NC,145830,815,296695
CASWELL COUNTY PUBLIC LIBRARY,NC,15034,227,21340
ORANGE COUNTY PUBLIC LIBRARY,NC,79046,174,349780
PERSON COUNTY PUBLIC LIBRARY,NC,54965,283,121418
HOCUTT ELLINGTON MEMORIAL LIBRARY,NC,37914,172,103901
GIBSONVILLE PUBLIC LIBRARY,NC,17472,180,29213
GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,NC,19635,76,44827
CARTERET COUNTY PUBLIC LIBRARY SYSTEM,NC,101349,194,236052
ADAMS COUNTY LIBRARY,ND,3120,350,23735
JAMES RIVER VALLEY LIBRARY SYSTEM,ND,51097,493,107996
ASHLEY PUBLIC LIBRARY,ND,549,0,1580
BEULAH PUBLIC LIBRARY,ND,10210,96,14107
BISMARCK VETERANS MEMORIAL PUBLIC LIBRARY,ND,187563,808,542428
BOTTINEAU COUNTY PUBLIC LIBRARY,ND,17245,84,32474
CANDO COMMUNITY LIBRARY,ND,3309,27,3811
LAKE REGION PUBLIC LIBRARY,ND,25000,150,27648
CARNEGIE REGIONAL LIBRARY,ND,36222,75,10463
CARRINGTON CITY LIBRARY,ND,9878,143,16984
CASSELTON PUBLIC LIBRARY,ND,8644,124,27584
CAVALIER COUNTY LIBRARY,ND,9514,58,15372
CAVALIER PUBLIC LIBRARY,ND,5456,66,14902
BOWMAN REGIONAL PUBLIC LIBRARY,ND,9336,54,13447
DICKINSON AREA PUBLIC LIBRARY,ND,63396,281,84212
DIVIDE COUNTY PUBLIC LIBRARY,ND,8592,63,19730
EDGELEY PUBLIC LIBRARY,ND,1240,27,17358
EDNA RALSTON PUBLIC LIBRARY,ND,4947,31,10471
ELLENDALE PUBLIC LIBRARY,ND,2131,14,3543
ENDERLIN MUNICIPAL LIBRARY,ND,1900,62,2680
FARGO PUBLIC LIBRARY,ND,361529,669,835207
FORMAN PUBLIC LIBRARY,ND,1121,28,747
GARRISON PUBLIC LIBRARY,ND,4891,74,25105
GOLDEN VALLEY COUNTY LIBRARY,ND,8279,21,16375
GRAND FORKS PUBLIC LIBRARY,ND,139347,937,463879
GRIGGS COUNTY LIBRARY,ND,6992,189,11949
HARRY L. PETRIE PUBLIC LIBRARY,ND,1500,4,3450
HARVEY PUBLIC LIBRARY,ND,12799,0,10934
HAZEN PUBLIC LIBRARY,ND,8352,55,14152
HEART OF AMERICA LIBRARY,ND,8793,49,16429
HEBRON PUBLIC LIBRARY,ND,1398,53,888
KIDDER COUNTY PUBLIC LIBRARY,ND,2694,37,2661
KILLDEER PUBLIC LIBRARY,ND,1330,,22633
LAKOTA CITY LIBRARY,ND,3500,75,3458
LAMOURE PUBLIC & SCHOOL LIBRARY,ND,448,,30940
LEACH PUBLIC LIBRARY,ND,39205,229,41201
LEEDS PUBLIC LIBRARY,ND,218,0,445
LIDGERWOOD CITY LIBRARY,ND,632,14,1655
STANLEY PUBLIC LIBRARY,ND,4858,68,7514
LISBON PUBLIC LIBRARY,ND,8893,20,20900
MADDOCK COMMUNITY LIBRARY,ND,9200,67,7500
MAX COMMUNITY LIBRARY,ND,1506,34,1271
MAYVILLE PUBLIC LIBRARY,ND,3356,,6092
MCKENZIE COUNTY PUBLIC LIBRARY,ND,15726,85,32843
MCLEAN-MERCER REGIONAL LIBRARY,ND,1369,6,23259
MINOT PUBLIC LIBRARY,ND,94544,631,277556
MOHALL PUBLIC LIBRARY,ND,3299,99,2737
MORTON MANDAN PUBLIC LIBRARY,ND,11195,73,69875
MOTT PUBLIC LIBRARY,ND,1258,78,1134
NEW ENGLAND PUBLIC LIBRARY,ND,1383,41,2050
EDDY - NEW ROCKFORD PUBLIC LIBRARY,ND,2650,2,4244
NEW TOWN PUBLIC LIBRARY,ND,7472,228,7604
OAKES SCHOOL & PUBLIC LIBRARY,ND,2398,14,41672
PARK RIVER SCHOOL & PUBLIC LIBRARY,ND,637,3,7430
PARSHALL PUBLIC LIBRARY,ND,218,0,576
PEMBINA SCHOOL & CITY LIBRARY,ND,1828,,4095
ROLLA PUBLIC LIBRARY,ND,2498,67,3368
SATRE MEMORIAL MILNOR SCHOOL LIBRARY,ND,4506,2,2936
TURTLE LAKE PUBLIC LIBRARY,ND,1504,17,2310
UNDERWOOD PUBLIC LIBRARY,ND,1835,7,3438
VALLEY CITY BARNES COUNTY PUBLIC LIBRARY,ND,18406,319,36384
VELVA PUBLIC & SCHOOL LIBRARY,ND,9200,302,15413
WALHALLA PUBLIC LIBRARY,ND,5023,51,1746
WARD COUNTY PUBLIC LIBRARY,ND,21943,234,66473
WASHBURN PUBLIC LIBRARY,ND,4865,49,7016
WEST FARGO PUBLIC LIBRARY,ND,53176,512,174703
WILLISTON COMMUNITY LIBRARY,ND,68384,550,93716
WISHEK SCHOOL & PUBLIC LIBRARY,ND,5512,0,4518
STANTON PUBLIC LIBRARY,ND,1155,36,1799
MARGARET FRAASE PUBLIC LIBRARY,ND,1145,,1651
KINDRED PUBLIC LIBRARY,ND,2614,39,6490
ROLETTE CITY LIBRARY,ND,301,,239
BOWBELLS PUBLIC LIBRARY,ND,174,,283
ELGIN PUBLIC LIBRARY,ND,3248,0,589
GLEN ULLIN PUBLIC LIBRARY,ND,517,12,633
SHERWOOD PUBLIC LIBRARY,ND,1033,,404
MCVILLE COMMUNITY LIBRARY,ND,1969,17,1013
NORTHWOOD CITY CENTER LIBRARY,ND,641,8,625
TIOGA COMMUNITY LIBRARY,ND,10846,,6017
AINSWORTH PUBLIC LIBRARY,NE,31304,104,13302
ALBION PUBLIC LIBRARY,NE,6340,31,24547
HOESCH MEMORIAL LIBRARY,NE,5631,25,11578
ANSLEY TOWNSHIP LIBRARY,NE,2956,,3721
ARAPAHOE PUBLIC LIBRARY,NE,5408,82,14282
ARCADIA TOWNSHIP LIBRARY,NE,876,0,1426
ARLINGTON PUBLIC LIBRARY,NE,3163,12,8162
ARTHUR COUNTY LIBRARY,NE,624,1,2736
ASHLAND PUBLIC LIBRARY,NE,40003,440,39559
ATKINSON PUBLIC LIBRARY,NE,29272,120,38912
AUBURN MEMORIAL LIBRARY,NE,19814,48,40766
ALICE M FARR LIBRARY,NE,9220,12,40168
AXTELL PUBLIC LIBRARY,NE,1440,42,1808
BANCROFT PUBLIC LIBRARY,NE,1837,25,2461
BARTLEY PUBLIC LIBRARY,NE,460,4,557
ROCK COUNTY PUBLIC LIBRARY,NE,1036,70,9047
LIED BATTLE CREEK PUBLIC LIBRARY,NE,10238,110,18887
BAYARD PUBLIC LIBRARY,NE,3640,4,8124
BEATRICE PUBLIC LIBRARY,NE,74476,208,67747
BEAVER CITY PUBLIC LIBRARY,NE,2397,35,3207
BEAVER CROSSING COMMUNITY LIBRARY,NE,450,0,625
KARLEN MEMORIAL LIBRARY,NE,2193,35,2080
BELLEVUE PUBLIC LIBRARY,NE,119280,847,372470
BENNINGTON PUBLIC LIBRARY,NE,35410,347,103463
BLAIR PUBLIC LIBRARY & TECHNOLOGY CENTER,NE,41803,215,85089
BLOOMFIELD PUBLIC LIBRARY,NE,10220,51,27689
BLUE HILL PUBLIC LIBRARY,NE,2236,51,3162
BRIDGEPORT PUBLIC LIBRARY,NE,8616,159,10838
BROADWATER PUBLIC LIBRARY,NE,664,268,655
BROKEN BOW PUBLIC LIBRARY,NE,22516,426,29330
BRUNING PUBLIC LIBRARY,NE,1919,4,2178
GARFIELD COUNTY LIBRARY,NE,3198,14,10253
BYRON PUBLIC LIBRARY,NE,3500,6,442
NIGEL SPROUSE MEMORIAL LIBRARY,NE,2000,7,2226
BUTLER MEMORIAL LIBRARY,NE,4760,35,14392
LIED CARROLL PUBLIC LIBRARY,NE,946,,1191
CEDAR RAPIDS PUBLIC LIBRARY,NE,2488,11,2389
CENTRAL CITY PUBLIC LIBRARY,NE,69905,540,80678
CERESCO COMMUNITY LIBRARY,NE,4896,47,7249
CHADRON PUBLIC LIBRARY,NE,70119,227,27436
CHAPPELL MEMORIAL LIBRARY & ART GALLERY,NE,1713,33,3271
CLARKS PUBLIC LIBRARY,NE,1678,,2113
CLARKSON PUBLIC LIBRARY,NE,4466,13,3598
CLAY CENTER PUBLIC LIBRARY,NE,4310,48,22434
CLEARWATER PUBLIC LIBRARY,NE,3223,100,2658
COLUMBUS PUBLIC LIBRARY,NE,64780,370,157845
WILSON PUBLIC LIBRARY,NE,26353,379,31363
CRAWFORD PUBLIC LIBRARY,NE,2295,4,2888
CREIGHTON PUBLIC LIBRARY,NE,5972,26,21239
CRETE PUBLIC LIBRARY,NE,25206,190,70511
EASTERN TOWNSHIP LIBRARY,NE,2706,3,10205
CULBERTSON PUBLIC LIBRARY,NE,1627,67,1655
KLYTE BURT MEMORIAL LIBRARY,NE,2709,38,4999
DAKOTA CITY PUBLIC LIBRARY,NE,4057,74,5812
DAVENPORT PUBLIC LIBRARY,NE,676,13,1512
DAYKIN PUBLIC LIBRARY,NE,140,,200
JENNIFER REINKE PUBLIC LIBRARY,NE,1243,72,6782
JOHN ROGERS MEMORIAL LIBRARY,NE,1571,34,2085
DORCHESTER PUBLIC LIBRARY,NE,2868,,3611
ELGIN PUBLIC LIBRARY,NE,3503,71,4392
ELM CREEK PUBLIC LIBRARY,NE,1300,155,480
ELMWOOD PUBLIC LIBRARY,NE,1878,9,4314
ELWOOD PUBLIC LIBRARY,NE,2014,23,12530
EMERSON PUBLIC LIBRARY,NE,2670,3,6033
EUSTIS PUBLIC LIBRARY,NE,500,4,875
EXETER PUBLIC LIBRARY,NE,3805,210,8322
FAIRBURY PUBLIC LIBRARY,NE,15011,45,21408
FAIRFIELD PUBLIC LIBRARY,NE,468,0,280
FAIRMONT PUBLIC LIBRARY,NE,1756,43,3269
FALLS CITY LIBRARY & ARTS CENTER,NE,16718,147,50173
FARNAM PUBLIC LIBRARY,NE,873,,1099
FRANKLIN PUBLIC LIBRARY,NE,6669,127,8204
KEENE MEMORIAL LIBRARY,NE,42600,527,156448
GILBERT PUBLIC LIBRARY,NE,3225,54,7198
FULLERTON PUBLIC LIBRARY,NE,4907,46,11180
GENEVA PUBLIC LIBRARY,NE,13988,140,23363
GENOA PUBLIC LIBRARY,NE,1500,61,3170
GERING PUBLIC LIBRARY,NE,30045,169,38822
GORDON CITY LIBRARY,NE,3215,25,8529
GOTHENBURG PUBLIC LIBRARY,NE,14223,180,33630
GRAND ISLAND PUBLIC LIBRARY,NE,95863,321,285587
HASTINGS MEMORIAL LIBRARY,NE,17784,139,29312
GREENWOOD PUBLIC LIBRARY,NE,3925,145,2689
GRETNA PUBLIC LIBRARY,NE,25765,491,105493
HARTINGTON PUBLIC LIBRARY,NE,37640,210,48060
HARVARD PUBLIC LIBRARY,NE,2402,,656
HASTINGS PUBLIC LIBRARY,NE,77775,506,208009
CRAVATH MEMORIAL LIBRARY,NE,1287,35,2849
HAYES CENTER PUBLIC LIBRARY,NE,619,4,878
HEBRON SECREST LIBRARY,NE,6240,25,8002
HEMINGFORD PUBLIC LIBRARY,NE,2013,6,2152
HILDRETH PUBLIC LIBRARY,NE,12382,288,10620
HOLDREGE AREA PUBLIC LIBRARY,NE,26589,205,51588
HOWELLS PUBLIC LIBRARY,NE,4049,47,5139
BRUUN MEMORIAL LIBRARY,NE,4506,10,6363
HUMPHREY PUBLIC LIBRARY,NE,4772,18,9863
GRANT COUNTY LIBRARY,NE,1918,26,5837
LIED IMPERIAL PUBLIC LIBRARY,NE,7638,93,22537
KEARNEY PUBLIC LIBRARY,NE,148431,561,487511
KIMBALL PUBLIC LIBRARY,NE,9593,149,16039
LEIGH PUBLIC LIBRARY,NE,1866,31,1604
LEWELLEN PUBLIC LIBRARY,NE,131,2,204
LEXINGTON PUBLIC LIBRARY,NE,26407,334,32826
LINCOLN CITY LIBRARIES,NE,691238,1970,2816218
LITCHFIELD PUBLIC LIBRARY,NE,20,,38
NANCY FAWCETT MEMORIAL LIBRARY,NE,1337,35,1886
LOUISVILLE PUBLIC LIBRARY,NE,6097,31,10313
LOUP CITY LIBRARY,NE,8001,104,13896
LYMAN PUBLIC LIBRARY,NE,2250,33,2355
LYONS PUBLIC LIBRARY,NE,3100,21,6237
MCCOOK PUBLIC LIBRARY,NE,41268,140,85376
SUNSHINE TOWNSHIP LIBRARY,NE,397,,1500
MEAD PUBLIC LIBRARY,NE,2431,113,2825
MEADOW GROVE PUBLIC LIBRARY,NE,7349,2,7400
BRENIZER PUBLIC LIBRARY,NE,1570,15,1780
WEBERMEIER MEMORIAL LIBRARY,NE,1800,12,9065
MINATARE PUBLIC LIBRARY,NE,828,7,592
JENSEN MEMORIAL LIBRARY,NE,17191,253,15135
MITCHELL PUBLIC LIBRARY,NE,5300,20,7154
MORRILL PUBLIC LIBRARY,NE,2528,24,4944
HOOKER COUNTY LIBRARY,NE,4100,48,4487
MORTON-JAMES PUBLIC LIBRARY,NE,26716,162,45845
NELIGH PUBLIC LIBRARY,NE,17275,287,32955
NELSON PUBLIC LIBRARY,NE,1185,12,1571
NEWMAN GROVE PUBLIC LIBRARY,NE,5835,124,5326
NIOBRARA PUBLIC LIBRARY,NE,1764,13,2038
NORFOLK PUBLIC LIBRARY,NE,115084,319,236197
NORTH BEND PUBLIC LIBRARY,NE,6522,83,10608
NORTH LOUP TOWNSHIP LIBRARY,NE,831,0,2355
NORTH PLATTE PUBLIC LIBRARY,NE,55653,403,153884
LOIS JOHNSON MEMORIAL LIBRARY,NE,1148,92,1365
OAKLAND PUBLIC LIBRARY,NE,8450,211,20726
KATHLEEN LUTE PUBLIC LIBRARY,NE,19815,113,65316
OMAHA PUBLIC LIBRARY,NE,1004215,2176,3672022
O`NEILL PUBLIC LIBRARY,NE,19482,0,52619
ORCHARD PUBLIC LIBRARY,NE,3486,37,4992
ORD TOWNSHIP LIBRARY,NE,24670,285,29045
CORDELIA B PRESTON MEMORIAL LIBRARY,NE,1678,78,3770
OSCEOLA PUBLIC LIBRARY,NE,3575,27,6763
OSHKOSH PUBLIC LIBRARY,NE,3090,29,8449
OSMOND PUBLIC LIBRARY,NE,3985,67,11502
OXFORD PUBLIC LIBRARY,NE,2863,56,3049
PALISADE PUBLIC LIBRARY,NE,993,13,1192
PALMYRA MEMORIAL LIBRARY,NE,1860,14,5853
PAWNEE CITY PUBLIC LIBRARY,NE,7421,175,12351
PAXTON PUBLIC LIBRARY,NE,2818,147,4028
HOUSE MEMORIAL LIBRARY,NE,1976,67,10974
LIED PIERCE PUBLIC LIBRARY,NE,15789,109,15624
PILGER PUBLIC LIBRARY,NE,3003,209,2550
PLAINVIEW PUBLIC LIBRARY,NE,7763,215,16724
PLATTSMOUTH PUBLIC LIBRARY,NE,34608,248,55316
POLK PUBLIC LIBRARY,NE,1824,8,2983
PONCA CARNEGIE LIBRARY,NE,2037,30,4312
POTTER PUBLIC LIBRARY,NE,594,0,932
LIED RANDOLPH PUBLIC LIBRARY,NE,9590,209,17214
RAVENNA PUBLIC LIBRARY,NE,14071,379,10736
AULD PUBLIC LIBRARY,NE,3685,49,5717
RISING CITY COMMUNITY LIBRARY,NE,178,1,340
RUSHVILLE PUBLIC LIBRARY,NE,4034,24,5477
SAINT EDWARD PUBLIC LIBRARY,NE,2249,51,2872
SAINT PAUL PUBLIC LIBRARY,NE,44000,172,37335
SARGENT TOWNSHIP LIBRARY,NE,1137,20,1444
SCHUYLER PUBLIC LIBRARY,NE,15224,411,4462
LIED SCOTTSBLUFF PUBLIC LIBRARY,NE,77248,201,127942
SCRIBNER PUBLIC LIBRARY,NE,2885,35,6989
SEWARD MEMORIAL LIBRARY,NE,51094,454,104923
SHELTON PUBLIC LIBRARY,NE,2536,46,746
VIRGIL BIEGERT PUBLIC LIBRARY,NE,1902,7,3297
SIDNEY PUBLIC LIBRARY,NE,17926,149,31465
SILVER CREEK TOWNSHIP LIBRARY,NE,1698,7,1155
SNYDER PUBLIC LIBRARY,NE,1280,55,318
SOUTH SIOUX CITY PUBLIC LIBRARY,NE,34799,421,17048
SPENCER TOWNSHIP LIBRARY,NE,82,,309
SPRINGFIELD MEMORIAL LIBRARY,NE,9315,142,19728
STANTON PUBLIC LIBRARY,NE,4200,21,41743
LOGAN COUNTY LIBRARY,NE,1317,20,1675
STRATTON PUBLIC LIBRARY,NE,652,3,1071
STROMSBURG PUBLIC LIBRARY,NE,4906,76,10767
STUART TOWNSHIP LIBRARY,NE,624,0,1076
MAXINE WHITE SUTHERLAND PUBLIC LIBRARY,NE,3292,79,7569
SUTTON MEMORIAL LIBRARY,NE,4684,,8446
SYRACUSE PUBLIC LIBRARY,NE,14450,86,14742
TABLE ROCK PUBLIC LIBRARY,NE,1161,,1462
TAYLOR PUBLIC LIBRARY,NE,655,8,895
TECUMSEH PUBLIC LIBRARY,NE,3172,6,5721
LIED TEKAMAH PUBLIC LIBRARY,NE,4209,54,8760
RAYMOND A. WHITWER TILDEN PUBLIC LIBRARY,NE,6751,36,10436
TRENTON PUBLIC LIBRARY,NE,1121,164,1313
ULYSSES TOWNSHIP LIBRARY,NE,1688,,559
VALENTINE PUBLIC LIBRARY,NE,35070,106,38244
VALLEY PUBLIC LIBRARY,NE,7871,231,17263
VALPARAISO PUBLIC LIBRARY,NE,1051,59,1656
VERDIGRE PUBLIC LIBRARY,NE,3215,47,5291
WAHOO PUBLIC LIBRARY,NE,31137,231,70963
GARDNER PUBLIC LIBRARY,NE,9515,105,11412
WALTHILL PUBLIC LIBRARY,NE,1050,14,326
